ID,Area,Sub Area,lat,long,Type
"
NW-88006598
","
Cumbria And Lancashire
","
North Cumbria
",54.836444," -2.751949
","
Groundwater – Borehole
"
"
NW-88007167
","
Cumbria And Lancashire
","
Ecmas Sampling (Cumbria And Lancashire)
",53.700193," -3.129668
","
Saline Water – Coastal Sites – Non Bathing/Shellfish
"
"
NW-88006348
","
Cumbria And Lancashire
","
North Cumbria
",54.658362," -2.860032
","
Freshwater – Rivers
"
"
NW-88006440
","
Cumbria And Lancashire
","
North Cumbria
",55.005462," -2.980346
","
Sewage Discharges – Final/Treated Effluent – Water Company
"
"
NW-88006846
","
Greater Manchester Merseyside And Cheshire
","
Merseyside
",53.493154," -2.493134
","
Groundwater – Borehole
"
"
NW-88006256
","
Cumbria And Lancashire
","
North Cumbria
",54.504135," -2.762155
","
Freshwater – Rivers
"
"
NW-88006491
","
Cumbria And Lancashire
","
Ecmas Sampling (Cumbria And Lancashire)
",54.948072," -3.148833
","
Saline Water – Estuarine Sites – Non Bathing/Shellfish
"
"
NW-88006655
","
Cumbria And Lancashire
","
Morecombe Bay
",54.193854," -2.753874
","
Groundwater – Borehole
"
"
NW-88006419
","
Cumbria And Lancashire
","
North Cumbria
",54.841692," -2.956267
","
Freshwater – Rivers
"
"
NW-88006241
","
Cumbria And Lancashire
","
North Cumbria
",54.52764," -2.733992
","
Freshwater – Rivers
"
"
NW-88006244
","
Cumbria And Lancashire
","
North Cumbria
",54.550837," -2.745478
","
Freshwater – Rivers
"
"
NW-88006145
","
Cumbria And Lancashire
","
North Cumbria
",54.557231," -2.688584
","
Trade Discharges – Process Effluent – Not Water Company
"
"
NW-88006156
","
Cumbria And Lancashire
","
North Cumbria
",54.8301," -2.756096
","
Trade Discharges – Process Effluent – Not Water Company
"
"
NW-88006121
","
Cumbria And Lancashire
","
North Cumbria
",54.873683," -2.946132
","
Trade Discharges – Site Drainage (Contam Surface Water, Not Waste Sit
"
"
NW-88006210
","
Cumbria And Lancashire
","
North Cumbria
",54.543831," -2.948931
","
Freshwater – Rivers
"
"
NW-88006479
","
Cumbria And Lancashire
","
North Cumbria
",54.977243," -2.993813
","
Freshwater – Rivers
"
"
NW-88006118
","
Cumbria And Lancashire
","
North Cumbria
",54.835691," -2.753071
","
Trade Discharges – Process Effluent – Not Water Company
"
"
NW-88006110
","
Cumbria And Lancashire
","
North Cumbria
",54.925542," -2.976169
","
Miscellaneous Discharges – Surface Water
"
"
NW-88006085
","
Cumbria And Lancashire
","
North Cumbria
",54.950112," -2.978357
","
Sewage Discharges – Final/Treated Effluent – Not Water Company
"
"
NW-88006081
","
Cumbria And Lancashire
","
North Cumbria
",54.749661," -3.044115
","
Sewage Discharges – Final/Treated Effluent – Water Company
"
"
NW-88006306
","
Cumbria And Lancashire
","
North Cumbria
",54.90216," -2.829619
","
Freshwater – Rivers
"
"
NW-88006098
","
Cumbria And Lancashire
","
North Cumbria
",54.94792," -2.704163
","
Trade Discharges – Process Effluent – Not Water Company
"
"
NW-88006089
","
Cumbria And Lancashire
","
North Cumbria
",54.54552," -2.47143
","
Sewage & Trade Combined – Unspecified
"
"
NW-88006066
","
Cumbria And Lancashire
","
North Cumbria
",54.644401," -2.605093
","
Sewage Discharges – Final/Treated Effluent – Water Company
"
"
NW-88006451
","
Cumbria And Lancashire
","
North Cumbria
",54.988806," -2.995162
","
Freshwater – Rivers
"
"
NW-88006079
","
Cumbria And Lancashire
","
North Cumbria
",54.538236," -2.386697
","
Sewage Discharges – Final/Treated Effluent – Water Company
"
"
NW-88006264
","
Cumbria And Lancashire
","
North Cumbria
",54.667146," -2.658705
","
Freshwater – Rivers
"
"
NW-88006058
","
Cumbria And Lancashire
","
North Cumbria
",54.636422," -2.773784
","
Sewage Discharges – Final/Treated Effluent – Water Company
"
